phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,F1_df,F2_df,F3_df,F4_df,F1_lm,F2_lm,F3_lm,F4_lm,speaker,lesson,environment,vowel_length,is_outlier
eː,TRUE,dêzima,0.36637906924711955,0.10126971697057842,θ,390.85862488366905,2087.2005100392203,2605.12060773623,2922.3378199818103,0.3771293309215397,2.0138855374739775,2.5136131818963703,2.819687827291691,-1.4213356330479021,0.25389742372539725,0.47555269720852156,0.5904576437535383,LL,10,elsewhere,long,FALSE
ɑ,TRUE,leziån,1.1061004840075996,0.08431148200633043,n,638.5961986933689,1844.29597601294,2606.9833923327205,2760.3909006939803,0.6161648785771272,1.7795132643217495,2.5154105343501754,2.6634294529651643,-0.9304092267622526,0.13017134437340605,0.4762674890376095,0.5334460249063664,LL,10,prenasal,short,FALSE
oː,TRUE,nôv,10.366180821821448,0.27369987740618557,v,465.019189436942,784.58283316442,2492.86235505724,3230.6100522493807,0.44868493264086623,0.7570235888024448,2.405298110850288,3.117131693936211,-1.2476028821201766,-0.7245294006555509,0.431505314964606,0.6907447145859509,LL,10,elsewhere,long,FALSE
iː,TRUE,dîS,10.957710538487254,0.2147935374923176,z,302.5315555673369,2370.8777803702505,2522.75730018293,3557.8706511414603,0.2919048368645311,2.2875983644313753,2.4341429665997123,3.432896942135315,-1.6774959665069256,0.381333982560462,0.44342619461821275,0.7872359587297355,LL,10,elsewhere,long,FALSE
æ,TRUE,ch'äli,11.255366629200484,0.09033373072106875,l,426.53780604214495,1918.96654405768,2460.8413839622203,3656.2638261287093,0.4115552457190684,1.8515609551578553,2.3744019078865777,3.527833959992427,-1.3339805489218906,0.1698605073431576,0.4185770419873771,0.8145155380159297,LL,10,prelateral,short,FALSE
o,TRUE,ónng',11.504286242742985,0.10237822815054544,nː,499.69080990471,1169.78305951712,2520.2889581951495,3481.7231981201,0.4821386783087957,1.1286932780115702,2.4317613275541,3.359424243361245,-1.1756920275066518,-0.3251079630789784,0.4424472854199122,0.7656010676226002,LL,10,prenasal,short,FALSE
iː,TRUE,pî,12.133181638103666,0.16862296401266086,i,318.140808176174,2377.0550120369808,2697.4589131839302,3680.797512234041,0.30696579910966026,2.2935586147549154,2.602708013466953,3.551505876222232,-1.6271874766792562,0.3839360561037113,0.5103839111114423,0.821203168502227,LL,10,elsewhere,long,FALSE
e,TRUE,én,12.335930678166505,0.0682521521003636,n,417.62160179829294,2153.38247060138,2772.41675175118,3647.03431901674,0.4029522319264356,2.0777427915215543,2.675032884165675,3.5189286484033366,-1.3551057907876283,0.2851135725505376,0.5377931378915726,0.8119880465067846,LL,10,prenasal,short,FALSE
ɑ,TRUE,dågg'?,12.655734738276399,0.1525636341066932,dzː,762.802308399605,1481.71451447683,2186.88426234613,3880.8993500155007,0.7360081264108461,1.4296678335490116,2.110067799851947,3.7445789399704164,-0.7526826545220153,-0.0887264024686889,0.30055154407610374,0.8741406425366138,LL,10,elsewhere,short,FALSE
ɔː,TRUE,fòra,14.562612242955943,0.20074162382459804,r,576.654113730665,980.15318793254,2512.9507780935305,3274.1519891681996,0.5563985703248214,0.9457243423389466,2.4246809082522898,3.1591441774578666,-1.032438923972701,-0.5019726807966745,0.43953139597873836,0.7041326254724938,LL,10,prerhotic,long,FALSE
ɛː,TRUE,mèrz,14.924950873959336,0.13449688796248088,r,578.5555099842078,1653.3698023594197,2360.19989204525,3263.6752560623504,0.558233178163215,1.595293560466443,2.2772955474451546,3.149035449915706,-1.0291470574031516,0.020889234223898434,0.3768200399896102,0.7009276640439461,LL,10,prerhotic,long,FALSE
æ,TRUE,sän,15.680395508442334,0.11843755805651136,n,754.801547293567,1484.0732264741098,2222.6165779776,3368.91714976605,0.7282883999146451,1.4319436934654597,2.1445449827217997,3.250580618502442,-0.7632266910315977,-0.08713578796717414,0.31675886508327444,0.7326650967053263,LL,10,prenasal,short,FALSE
e,TRUE,avréll!,16.108830468419093,0.09033373072107055,lː,524.9293323924239,1664.08968126996,2432.5117213766002,3511.06037466138,0.506490672849207,1.6056368930775509,2.347067352587132,3.3877309226968566,-1.1264179058976245,0.02735196046046262,0.4069980782404814,0.7739918174173335,LL,10,prelateral,short,FALSE
ɔː,TRUE,ò,18.222717893976412,0.1445339691537093,NA,615.880108523033,1056.5876724452303,2616.99782813582,3436.47409278978,0.5942467134358516,1.0194739903406584,2.5250732032374326,3.3157645573990875,-0.9666292388925912,-0.4268817369919402,0.4801015181613586,0.7525196972347787,LL,10,elsewhere,long,FALSE
æ,TRUE,tränt,18.61319160298899,0.06624473586211722,n,742.740672039414,1385.90372988639,2115.3290334363205,3608.1736736339503,0.7166511747765772,1.337222497083903,2.0410260187969023,3.4814330214442215,-0.7793345988798865,-0.15557383608133968,0.2672840962827241,0.801275461269511,LL,10,prenasal,short,FALSE
aː,TRUE,ân,18.917002723968892,0.1224523905330024,n,769.0728473792041,1217.04617301503,2146.53260336901,3710.66278950154,0.7420584065360384,1.1742962281218323,2.071133532618763,3.580322106226189,-0.7444958594313666,-0.285499522165769,0.2819275221709825,0.8292842346445228,LL,10,prenasal,long,FALSE
e,TRUE,SbléSSga,19.56959265896132,0.11643014181826672,zː,472.18152898456196,1600.43202357528,2334.19194660574,3016.7717891782,0.4555956879612349,1.5442152732742975,2.2522011566915525,2.9108047103588093,-1.232318047508362,-0.011652667947370077,0.36573949433673647,0.6222610401977287,LL,10,elsewhere,short,FALSE
ɑ,TRUE,leziån,2.086196079611648,0.13278628550176258,n,1032.25419945032,1650.6791839109198,1813.3245631858601,2895.12353011307,0.9394543674306219,1.502282838256026,1.6503063696532518,2.634851421349711,-0.4977743617472328,-0.02833248594212634,0.06564261993735876,0.5335084645022672,RM,10,prenasal,short,FALSE
o,TRUE,nómmer,2.7677783385578536,0.08964246171633626,mː,469.4877634774989,1049.51183391274,2667.5619241886297,3444.61166979627,0.4272807319059965,0.9551605375541005,2.427747643366456,3.1349404817299917,-1.28563235932649,-0.4811941797948247,0.4516456024682842,0.7072918594938375,RM,10,prenasal,short,FALSE
æ,TRUE,sänper,21.819343885153728,0.07226698457685292,n,722.177022339853,1468.71419760405,2623.3488618809797,3901.1507054745202,0.696809843515668,1.417124165603962,2.531201150670306,3.764118946633407,-0.807411262325866,-0.09753895296637793,0.48252541765898993,0.8793452868216542,LL,10,prenasal,short,FALSE
æ,TRUE,tränta,22.41865527371984,0.07025956833861002,n,744.103592672414,1490.94030755297,2650.6232610658394,3967.87278392802,0.7179662214806776,1.4385695615614376,2.557517509734749,3.828497346399696,-0.7775012918589965,-0.08251927567480699,0.49286852971942263,0.8963038529264287,LL,10,prenasal,short,FALSE
e,TRUE,dé,22.91950562516221,0.0481779897179031,e,417.185176853888,1845.7658819453302,2524.79181417,3716.95704998708,0.40253113683782166,1.780931538361282,2.4361060162802013,3.5863952746160743,-1.3561513620391423,0.13096802804252494,0.4442323340142478,0.830979060747155,LL,10,elsewhere,short,FALSE
a,TRUE,nuvàmmber,23.361844091917924,0.10237822815054544,mː,806.644412811891,1279.1081857932802,2457.5707352083605,3800.7967696073097,0.7783102337472745,1.2341782516071056,2.3712461438898393,3.6672900415524246,-0.6967986117835681,-0.23576317022675042,0.41724708054587634,0.8532844454855679,LL,10,prenasal,short,FALSE
iː,TRUE,quî,24.473917547803953,0.07025956833861002,d,221.581176829304,2034.9742505935099,2642.69650182107,3562.1829013787997,0.2137979198676097,1.9634937768030758,2.5498691857115916,3.437057720338068,-1.9888925453030604,0.22855689006326418,0.4898735226066302,0.7884472560136091,LL,10,elsewhere,long,FALSE
e,TRUE,avréll,24.817728586659968,0.12044497429475952,lː,462.09681528294294,1712.59253177057,2510.817117279931,3639.3184997179196,0.44586520975582544,1.65243603320789,2.422622194375154,3.5114838548528766,-1.2539071284451273,0.05608204736496525,0.4386819694183055,0.8098701632873366,LL,10,prelateral,short,FALSE
o,TRUE,Zóggn,25.371560670751126,0.11843755805651313,g,526.7509287847388,1121.42811225275,2517.511112322001,3441.8231186561507,0.5082482838750537,1.0820368458707015,2.4290810562517704,3.3209256934662954,-1.1229537385432975,-0.36732330219746423,0.44134448415118666,0.754075031870733,LL,10,elsewhere,short,FALSE
a,TRUE,setàmmber,26.049489357060036,0.09049776294667566,mː,737.9732884526641,1387.64658298584,2415.9776208857,3836.7718066747802,0.712051250231347,1.3389041307525622,2.331114028652222,3.7020014200289024,-0.7857739250255245,-0.15431706902666686,0.4001777416709942,0.8627050622086001,LL,10,prenasal,short,FALSE
ɔː,TRUE,ventiòt,27.79243437387123,0.2669863596867153,t,517.2493313213772,908.4623230528499,2689.97657841585,3402.6282999448495,0.49908043937601043,0.8765516896609843,2.5954885030732475,3.2831076313457945,-1.1411565305946834,-0.5779281390845235,0.5076062111869986,0.7426218869040904,LL,10,elsewhere,long,FALSE
ɛː,TRUE,febrèr,28.576428056355947,0.18468229391862678,r,578.0453786126261,1789.40284022713,2548.36464358584,3637.7932620597,0.5577409656582359,1.72654830396748,2.458850826857604,3.510012192668853,-1.030029179161298,0.0999556799009671,0.4535255617180258,0.8094509756396873,LL,10,prerhotic,long,FALSE
iː,TRUE,sutîl,29.312489797461208,0.3326374679937594,l,260.60254024086703,2325.67924155649,2769.6652299627194,3448.3801976816003,0.2514486194765257,2.243987468787105,2.6723780122886454,3.3272524486361563,-1.8266851421565633,0.36208586779850105,0.5368001818062549,0.7559783373913005,LL,10,prelateral,long,FALSE
e,TRUE,én,30.16733473112533,0.051040707186516,ŋː,323.67414069679705,2331.4438194335403,2886.9985479824804,3392.02401117382,0.31230476787845757,2.2495495601915456,2.7855898820094858,3.2728758286567596,-1.6099442833545954,0.364561465177232,0.5782911222501319,0.739500521190231,LL,10,prenasal,short,FALSE
oː,TRUE,ventnôv,30.7987491541665,0.2157816202745728,v,462.28401229203996,857.3226301297999,2542.3299914578697,3331.6739844668095,0.4460458312857003,0.8272083287940135,2.4530281478261693,3.2146456560466867,-1.2535021070382095,-0.6358672421474054,0.4511547045414268,0.7215486002398661,LL,10,elsewhere,long,FALSE
iː,TRUE,biSestîl,31.692344249249224,0.2509270297807476,l,289.20249246158494,2345.9041933942203,2526.8430485470703,3678.66314075594,0.27904397022156185,2.263501999281996,2.438085199030532,3.5494464766433844,-1.7225544457446933,0.37074463563675675,0.44504444120154396,0.8206231337310443,LL,10,prelateral,long,FALSE
ɛː,TRUE,sèt,32.86310924738435,0.18468229391862678,t,573.7911348390501,1802.0235355192299,2372.0089463282197,3501.10893380369,0.5536361563851045,1.7387256849135726,2.2886897970715454,3.3781290359955385,-1.0374161009489793,0.10698394439710412,0.38181097728734414,0.7711534810621226,LL,10,elsewhere,long,FALSE
a,TRUE,avànzen,33.361952182588475,0.13048205548599162,n,807.3424775252489,1580.1522768992797,2381.47944590473,3746.31365042591,0.7789837782503974,1.524647872663771,2.297827636027626,3.614720695565713,-0.6959335926671617,-0.02440505530104886,0.3857956350063505,0.8388460544615084,LL,10,prenasal,short,FALSE
