phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,speaker,lesson
e,1,mé,11.37081764,0.2032551889,a,441.2534829,2103.409848,2517.960391,3633.128627,LL,2
a,0,a,11.50471112,0.0645317721,f,654.4394104,1457.09827,2348.395907,3765.401234,LL,2
f,0,fâg,11.59769554,0.121437062,a:,1035.333904,1913.742907,2516.642594,3481.219096,LL,2
aː,1,fâg,11.74670581,0.1765834718,g,765.1102579,1177.347188,2402.412491,3773.459504,LL,2
g,0,fâg,11.86553408,0.06107308236,d,308.0328054,1221.285333,2337.870896,3682.735318,LL,2
d,0,dû,11.94766685,0.1031924495,u:,228.2439169,1086.381209,2516.697983,3573.876099,LL,2
uː,1,dû,12.03664363,0.07476112018,p,320.5202291,969.4555712,2387.703635,3587.000434,LL,2
p,0,pâs,12.12454135,0.1010343117,a:,342.7351641,847.6900773,2568.77873,3780.454019,LL,2
aː,1,pâs,12.2749978,0.1998785958,s,788.1828314,1308.36811,2086.54843,3772.581812,LL,2
s,0,pâs,12.41306951,0.07626482157,p,1214.586538,1763.962029,3340.962585,3602.245064,LL,2
p,0,par,12.5057606,0.1091173601,a,209.7461743,1667.747343,3021.316317,3533.508929,LL,2
a,0,par,12.59740183,0.0741650957,r,586.044809,1248.092579,2354.597285,3901.194688,LL,2
r,0,par,12.65003067,0.0310925811,b,408.4248769,1207.722188,1945.267979,3629.095078,LL,2
b,0,bulåggna,12.70693596,0.08271799878,u,228.5859141,855.1745405,2515.029466,3907.287445,LL,2
u,0,bulåggna,12.78701402,0.07743812652,l,342.5777239,836.175874,2473.662054,3515.411963,LL,2
l,0,bulåggna,12.8488194,0.0461726187,ɑ,415.6664451,1165.732726,2099.062387,3682.91254,LL,2
ɑ,1,bulåggna,12.94092995,0.1380484993,g,776.8772981,1420.42469,2372.120581,3681.280417,LL,2
g,0,bulåggna,13.04445951,0.06901061319,ɲ,287.1515775,1362.495161,2250.724026,4015.127268,LL,2
ɲ,0,bulåggna,13.1200078,0.08208596198,a,425.3310629,1968.360798,2708.340759,3736.095967,LL,2
a,0,bulåggna,13.19040505,0.05870854313,NA,464.1213771,1629.243873,2264.774391,3753.49486,LL,2
a,0,adès,14.20836503,0.06796642104,d,716.210652,1350.560766,2469.370318,3650.473831,LL,2
d,0,adès,14.27977278,0.07484909659,ɛ:,341.593122,1331.48338,2425.446767,3781.049685,LL,2
ɛː,1,adès,14.40396288,0.1735310929,s,553.6457615,1860.543669,2290.309215,3719.413637,LL,2
s,0,adès,14.55739831,0.1333397587,NA,1135.225615,1925.175242,3192.220776,3838.123685,LL,2
a,0,a,14.94868962,0.04523722192,s,610.4745219,1379.769028,2016.933553,3325.302674,LL,2
s,0,sån,15.01432495,0.08603344436,ɑ,1410.0903,1933.334162,3235.283435,3755.370801,LL,2
ɑ,1,sån,15.1032381,0.09179285663,n,700.7500025,1484.373146,2262.021198,3475.545258,LL,2
n,0,sån,15.17259647,0.04692388657,a,641.8160209,1813.112793,2444.573097,4792.828564,LL,2
a,0,ala,15.21665754,0.04119825703,l,628.4492171,1357.250353,2451.073794,3745.633637,LL,2
l,0,ala,15.26175063,0.04898791033,a,460.4926299,1163.192679,2378.85275,3626.212605,LL,2
a,0,ala,15.31030697,0.04812478028,s,578.4603813,1281.025274,2412.799985,3710.885862,LL,2
s,0,staziån,15.36398859,0.05923845279,t,1586.68802,2588.036846,3731.976266,4347.161119,LL,2
t,0,staziån,15.43339828,0.07958093603,a,544.4451919,1683.549777,2802.940753,3722.0609,LL,2
a,0,staziån,15.49663286,0.04688822717,θ,487.0891051,1310.802087,2418.374625,3727.166517,LL,2
θ,0,staziån,15.58589139,0.1316288165,i,966.7792196,1773.495688,2910.831429,3782.810837,LL,2
i,0,staziån,15.69914188,0.09487216751,ɑ,425.5174137,1917.53276,2298.98139,3644.366283,LL,2
