phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,speaker,lesson
d,0,dågg'?,12.562077444083569,0.0347509542789659,ɑ,384.321207365363,"1,455.22254415087","2,033.17184574394","3,337.50547638510",LL,10
ɑ,1,dågg'?,12.655734738276395,0.15256363410669316,dzː,762.802308399605,"1,481.71451447683","2,186.88426234613","3,880.89935001550",LL,10
dzː,0,dågg'?,12.860178755463094,0.2563244002666991,NA,"1,861.029507622740","2,916.05905169380","3,403.25758766303","3,994.99290677001",LL,10
f,0,fòra,14.397294565808885,0.1298937304695098,ɔː,"1,123.591419969680","1,851.57915244071","2,668.25975593302","3,583.63606282533",LL,10
ɔː,1,fòra,14.56261224295594,0.20074162382459804,r,576.654113730665,980.15318793254,"2,512.95077809353","3,274.15198916820",LL,10
r,0,fòra,14.698112839037542,0.07025956833860825,a,557.139339009669,"1,172.56634247427","1,967.13317608519","3,613.90015760895",LL,10
a,0,fòra,14.768372407376152,0.07025956833860825,m,588.672636369018,"1,183.13567512223","2,114.98460837155","3,331.14892467018",LL,10
m,0,mèrz,14.830602310761776,0.05420023843264054,ɛː,304.097102453088,"1,079.94031402450","2,270.09073051425","2,705.96820801522",LL,10
ɛː,1,mèrz,14.924950873959336,0.13449688796248083,r,578.555509984208,"1,653.36980235942","2,360.19989204525","3,263.67525606235",LL,10
r,0,mèrz,15.014280896561282,0.04416315724141029,θ,540.570599279387,"1,369.64689562951","2,358.58861517309","3,818.43260116589",LL,10
θ,0,mèrz,15.111294949613844,0.1498649488637156,NA,"1,498.829955419060","2,327.34095109151","3,723.68101710658",NA,LL,10
k,0,ch'a,15.47970465005682,0.04896690017231542,a,484.620365721149,"1,671.61627755471","2,151.06388053186","3,371.33840634713",LL,10
a,0,ch'a,15.527273386882806,0.04617057347965669,s,547.416155034017,"1,452.35062498594","2,131.41900699103","3,785.87323383230",LL,10
s,0,sän,15.585767701518357,0.07081805579144529,æ,"1,467.016528415490","2,328.18038448447","3,126.89187257469","4,022.58013714669",LL,10
æ,1,sän,15.680395508442334,0.11843755805651136,n,754.801547293567,"1,484.07322647411","2,222.61657797760","3,368.91714976605",LL,10
n,0,sän,15.804855315213585,0.130482055485988,d,286.908801693385,"1,159.60021648332","2,422.03922986109","2,539.28035151065",LL,10
d,0,d,15.888590739715974,0.03698879351879114,a,556.661310423785,"1,338.81438905298","2,432.40420226739","3,539.19590831353",LL,10
a,0,avréll!,15.934185255691691,0.05420023843264054,v,542.805610686141,"1,153.73461409280","2,352.46330895306","3,426.74735304061",LL,10
v,0,avréll!,15.985374369766962,0.04817798971790132,r,537.529030962860,"1,124.46984771078","2,148.84147019077","3,335.43428950490",LL,10
r,0,avréll!,16.036563483842233,0.05420023843264232,e,539.540190466898,"1,488.37874873231","2,289.55793350294","3,880.67626300421",LL,10
e,1,avréll!,16.10883046841909,0.09033373072107054,lː,524.929332392424,"1,664.08968126996","2,432.51172137660","3,511.06037466138",LL,10
lː,0,avréll!,16.211208696569635,0.11442272558002033,NA,307.800137316261,"1,442.50501325885","2,525.77757547364","3,605.77956018846",LL,10
ai,0,ai,18.06312830303586,0.1746452127273983,ɔː,445.077473530535,"2,015.24247035429","2,815.15999356693","3,147.62396698134",LL,10
ɔː,1,ò,18.222717893976416,0.1445339691537093,NA,615.880108523033,"1,056.58767244523","2,616.99782813582","3,436.47409278978",LL,10
t,0,tränt,18.522842246931056,0.05021665662988539,r,579.189657995608,"1,324.48508191552","2,340.24313981408","3,685.05197028310",LL,10
r,0,tränt,18.564009905151966,0.0321186598119354,æ,572.435628510843,"1,255.67821251076","2,026.63087988231","3,606.67947868632",LL,10
æ,1,tränt,18.61319160298899,0.06624473586211721,n,742.740672039414,"1,385.90372988639","2,115.32903343632","3,608.17367363395",LL,10
n,0,tränt,18.683435545990733,0.0742431501413634,t',503.426552568613,914.62213982865,"2,346.41949717722","2,861.45254664829",LL,10
t,0,tränt,18.788166824881905,0.13521940764097806,aː,491.007754430541,"1,625.53465268194","3,197.36506687414","4,291.79724046435",LL,10
aː,1,ân,18.917002723968892,0.1224523905330024,n,769.072847379204,"1,217.04617301503","2,146.53260336901","3,710.66278950154",LL,10
n,0,ân,19.05350702816962,0.15055621786844853,e,765.652302532534,"1,389.95164840503","2,711.51859481544","3,980.38476445049",LL,10
e,0,e,19.183989083655607,0.1104078931035275,z,454.546515799313,"1,597.57797997375","2,233.53695362329","3,096.64300752689",LL,10
z,0,SbléSSga,19.32238559259379,0.1663851247728374,b,193.114930287541,"1,687.05026488318","2,177.33627656370","3,311.34231239692",LL,10
b,0,SbléSSga,19.448737604102497,0.08631889824457772,l,378.343780330812,"1,233.88757780630","2,313.39459732843","3,527.35061079918",LL,10
l,0,SbléSSga,19.501637320638487,0.01948053482740519,e,474.055019242819,"1,455.83057489890","2,567.93353318238","3,562.63051906033",LL,10
e,1,SbléSSga,19.569592658961326,0.11643014181826672,zː,472.181528984562,"1,600.43202357528","2,334.19194660574","3,016.77178917820",LL,10
zː,0,SbléSSga,19.722156293068014,0.1886971263951196,g,"1,338.712658048860","2,343.64485465825","3,244.53060947926","4,112.18319356581",LL,10
g,0,SbléSSga,19.87672734341296,0.12044497429475952,a,264.581783997776,"1,448.12283635888","2,325.50114830967","4,165.46094137976",LL,10
ɑ,1,leziån,2.086196079611648,0.13278628550176252,n,"1,032.254199450320","1,650.67918391092","1,813.32456318586","2,895.12353011307",RM,10
n,0,leziån,2.2186855513358816,0.13219265794670454,NA,510.086474141201,863.70110023930,"2,046.57845621492","3,430.23704195627",RM,10
n,0,nómmer,2.6356345013359848,0.1746452127273992,o,339.088723154682,"2,147.67881716058","3,107.99326176617","3,908.13344032031",RM,10
o,1,nómmer,2.7677783385578527,0.08964246171633627,mː,469.487763477499,"1,049.51183391274","2,667.56192418863","3,444.61166979627",RM,10
mː,0,nómmer,2.889309037084547,0.1534189353370521,e,316.718765461218,866.43518803803,"2,102.50905671732","2,999.94375648087",RM,10
a,0,SbléSSga,20.01242516710816,0.1509506730956467,NA,484.327213410111,"1,521.37073316093","2,153.42148624474","4,005.72471633283",LL,10
s,0,sänper,21.727694007199155,0.11103277133231516,æ,"1,435.372762154460","2,580.18384428972","3,367.31830267189","3,524.63548654526",LL,10
æ,1,sänper,21.819343885153735,0.07226698457685288,n,722.177022339853,"1,468.71419760405","2,623.34886188098","3,901.15070547452",LL,10
